Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Language,Top_Video_Views,Last_Upload_Date
OGShadow8678Official,Philippines,Teamfight Tactics,Battlefield,7644,2035788,303,6718,3,0.5,22,793,60,12.7,Indonesian,144874,12-06-2025
xSniper8862Network,Turkey,Battlefield,,500,2591182,339,7643,12,5,13,910,75,12.89,German,116735,28-07-2025
GGStorm4832Gaming,Japan,PUBG Mobile,PUBG Mobile,6244,3698425,314,11778,2,2,14,654,112,6.5,German,218840,11-07-2025
TheHunter5928Gaming,Malaysia,Counter-Strike 2,Rocket League,76030,35332398,342,103311,1,7,19,6665,743,7.17,Korean,1310041,01-08-2025
OGWizard5119Esports,UK,Teamfight Tactics,Mobile Legends,500,2081162,363,5733,9,3,9,664,151,14.22,English,279268,23-04-2025
MrWizard8991Official,Germany,Dota 2,,4038,14996437,290,51711,8,2,12,4181,1006,10.03,Indonesian,927652,14-06-2025
FNPlay384Clips,France,Esports News,Valorant,1033,439042,312,1407,5,3,17,58,16,5.26,Portuguese,61726,05-06-2025
MrStorm3860Live,Turkey,Sim Racing,,5892,6768381,332,20386,11,2,19,1813,534,11.51,Spanish,370636,17-07-2025
TheSniper2367Network,Thailand,Counter-Strike 2,,3073,18233987,335,54429,12,7,2,2208,1364,6.56,Spanish,1448034,05-06-2025
RealKing7763TV,Brazil,Call of Duty,Mobile Legends,1068,575481,327,1759,2,2,8,94,13,6.08,Filipino,80709,25-06-2025
xSniper8235TV,Turkey,Apex Legends,,6506,1022719,285,3588,1,1,6,153,75,6.35,Spanish,44807,05-08-2025
FNAce2483TV,Thailand,Overwatch,FIFA,53474,148360572,308,481690,7,3,11,21434,11100,6.75,Korean,11620977,08-07-2025
TheFury7726Clips,France,Minecraft,,2196,4080633,296,13785,11,3,6,282,315,4.33,Portuguese,654909,06-07-2025
FNAce589Plays,USA,Call of Duty,Rainbow Six Siege,9429,39127687,311,125812,11,4,16,13596,2903,13.11,Japanese,5392811,28-07-2025
MrBlade4469Live,France,Hearthstone,Rainbow Six Siege,500,426778,307,1390,2,7,13,68,12,5.76,Hindi,38829,06-07-2025
GGKing7341Highlights,Vietnam,Esports News,,645,259882,311,835,1,2,17,23,10,3.95,Hindi,11326,24-04-2025
ProKing9048Highlights,Malaysia,PUBG Mobile,Roblox,6347,2200143,322,6832,2,2,18,196,178,5.47,English,192699,07-07-2025
OfficialGamer7636Gaming,Turkey,Apex Legends,Teamfight Tactics,32035,51739680,313,165302,7,2,16,12497,4539,10.31,Filipino,6961663,07-05-2025
MsWizard5292Official,Philippines,TFT,,5265,8696414,341,25502,7,7,10,3042,305,13.12,Filipino,884458,31-07-2025
OfficialShadow7294TV,Russia,Call of Duty,Teamfight Tactics,1806,4895575,308,15894,10,10,13,548,88,4,Filipino,420084,27-06-2025
MrSniper5144Live,Turkey,Sim Racing,Fortnite,2977,2238426,293,7639,6,10,9,228,202,5.63,English,105081,03-07-2025
OGFury9722Clips,China,Grand Theft Auto V,Rocket League,500,634028,331,1915,5,1,4,122,27,7.78,Spanish,62379,29-05-2025
GGShadow8924Clips,Germany,Dota 2,Apex Legends,7841,6582966,309,21304,3,2,18,1626,281,8.95,English,346877,15-07-2025
GGWizard652Gaming,Turkey,Counter-Strike 2,Fortnite,12231,42456596,329,129047,12,1,11,6379,1764,6.31,Hindi,334649,12-06-2025
MsQueen3443Gaming,Mexico,Minecraft,,1446,1817427,298,6098,3,2,3,306,93,6.54,Japanese,123342,17-05-2025
MsRogue1087Plays,Russia,Counter-Strike 2,Mobile Legends,1405,4370682,309,14144,11,0.5,15,883,204,7.69,Japanese,165296,11-07-2025
OGWizard1062Network,Pakistan,FIFA,Esports News,4561,8420669,334,25211,12,1,11,1296,483,7.06,English,1132040,13-07-2025
OGSniper9872Clips,Indonesia,Dota 2,Overwatch,1482,4647064,307,15137,9,2,2,1688,105,11.85,English,118014,26-04-2025
ProRogue9520Channel,Germany,TFT,Valorant,2681,4383878,323,13572,4,2,4,328,397,5.34,Portuguese,248102,26-04-2025
OfficialBlade8355TV,Russia,Counter-Strike 2,Rocket League,85781,149555334,282,530338,9,1,8,23046,15067,7.19,Korean,6528474,29-07-2025
FNGamer6400Live,Pakistan,TFT,Valorant,2007,2732632,308,8872,4,1,13,894,251,12.91,Filipino,89632,25-07-2025
TheHunter9011Gaming,Turkey,CS:GO Classics,,1680,390170,316,1234,2,4,17,127,33,12.97,Portuguese,31803,10-07-2025
RealRogue4319Official,South Korea,Battlefield,Grand Theft Auto V,1057,861948,294,2931,4,1,17,91,63,5.25,Japanese,143892,01-08-2025
GGRogue7263Gaming,USA,Overwatch,TFT,9805,27011839,299,90340,6,4,16,10603,951,12.79,Japanese,1837119,08-08-2025
MrFury8604Official,Vietnam,CS:GO Classics,,2230,6155986,305,20183,6,2,12,1803,125,9.55,Filipino,513534,17-07-2025
ProPlay2549Plays,China,Esports News,Grand Theft Auto V,1054,1627882,345,4718,5,5,22,222,35,5.45,English,153567,15-05-2025
ProKing7848Esports,Indonesia,Apex Legends,Roblox,24688,9037243,278,32508,1,1,16,2132,425,7.87,Japanese,1146243,19-05-2025
MrShadow2473Clips,Canada,Esports News,,28893,37645290,299,125903,3,1,13,6259,2215,6.73,Indonesian,2977210,27-07-2025
RealWizard6540Channel,Mexico,TFT,TFT,1140,2743688,297,9238,5,4,15,323,275,6.47,Russian,54006,28-05-2025
xStorm1877Official,Mexico,League of Legends,PUBG Mobile,500,811346,310,2617,6,7,10,128,41,6.46,Russian,110640,25-07-2025
FNAce5468Live,Brazil,Overwatch,,14943,4523381,314,14405,1,1,12,1123,260,9.6,Hindi,410601,20-06-2025
xRogue8960Official,Spain,Battlefield,,996,2124814,307,6921,9,1,2,710,154,12.48,Filipino,169394,25-07-2025
xStorm9291Clips,Mexico,Counter-Strike 2,,10561,2610421,302,8643,3,7,10,487,82,6.58,Spanish,366317,30-04-2025
GGRogue6341Live,Germany,Esports News,Fighting Games,500,1201307,300,4004,10,1,23,219,113,8.29,Korean,122991,16-05-2025
xRogue2193Gaming,USA,TFT,Battlefield,12433,15135274,305,49623,3,1,13,3314,904,8.5,Filipino,605201,06-08-2025
ProKing8003Highlights,India,Dota 2,,500,2267091,310,7313,11,7,13,617,87,9.63,Korean,163249,20-06-2025
ProHunter6358Official,Russia,Battlefield,,9597,8667428,316,27428,2,5,18,2610,778,12.35,Indonesian,960989,01-06-2025
FNAce1941Network,Mexico,TFT,Call of Duty,3049,1784519,308,5793,8,2,14,305,119,7.32,Russian,285657,23-07-2025
ProSniper9604Esports,UK,CS:GO Classics,,647,557493,327,1704,3,7,7,133,29,9.51,English,53489,20-03-2025
TheFury7882Network,Mexico,Counter-Strike 2,Roblox,1554,916931,320,2865,6,3,12,168,55,7.78,Korean,32465,12-07-2025
TheWizard9091Network,Pakistan,Rainbow Six Siege,CS:GO Classics,8938,2508610,306,8198,2,1,5,751,194,11.53,Russian,23213,28-06-2025
TheHunter9065Network,Turkey,Hearthstone,,3531,11248643,291,38655,7,4,13,1409,342,4.53,Japanese,640571,07-05-2025
FNFury3669Official,India,Minecraft,,7593,8308444,295,28164,4,3,7,1286,749,7.23,English,634735,03-07-2025
OfficialQueen8379TV,USA,Call of Duty,,70425,248044380,295,840828,9,3,18,52640,24373,9.16,Japanese,26814747,14-07-2025
MrKing4978Highlights,Russia,CS:GO Classics,Battlefield,500,394864,326,1211,10,10,9,131,23,12.72,Portuguese,13740,09-06-2025
FNSniper758Clips,Indonesia,Hearthstone,CS:GO Classics,39637,84749746,315,269046,9,1,7,20806,5934,9.94,German,1621048,03-07-2025
RealQueen5181Gaming,France,PUBG Mobile,Dota 2,3522,8712923,329,26483,7,3,11,3086,701,14.3,Filipino,337290,07-07-2025
ProHunter8042Clips,Brazil,Counter-Strike 2,,707,933519,323,2890,12,2,14,87,41,4.43,Russian,79915,26-07-2025
OGSniper8373Clips,Germany,Esports News,League of Legends,500,786472,308,2553,8,1,5,168,76,9.56,Korean,21066,13-07-2025
FNHunter8497Official,Canada,League of Legends,,2202,522181,310,1684,3,4,9,104,37,8.37,Indonesian,15774,05-08-2025
RealFury5544Network,France,Sim Racing,,13025,49158078,314,156554,11,3,13,12527,2442,9.56,Japanese,7046995,16-06-2025
OGQueen7309Official,Thailand,Sim Racing,,2430,5915847,299,19785,5,7,20,2002,433,12.31,Japanese,124448,02-08-2025
ProGamer7977Network,Germany,Fortnite,,33451,28244048,287,98411,2,7,2,10248,1775,12.22,Filipino,3498651,23-06-2025
MsFury1664TV,Indonesia,Valorant,,500,2442902,322,7586,10,3,16,660,59,9.48,Filipino,24160,10-07-2025
ThePlay3573Network,Russia,Fighting Games,,2923,8808913,319,27614,7,2,10,2323,687,10.9,Russian,833268,29-07-2025
xBlade5395Highlights,China,Overwatch,Mobile Legends,500,1739352,287,6060,8,3,9,696,115,13.38,Spanish,252063,17-07-2025
OGKing700Live,Pakistan,TFT,,5333,14866098,293,50737,9,2,8,2961,1263,8.33,Portuguese,1402839,22-07-2025
OGSniper537Channel,Malaysia,Roblox,Minecraft,12320,38381098,304,126253,11,1,10,13039,1120,11.21,Japanese,1800526,12-07-2025
OGStorm1534Official,Canada,Mobile Legends,Grand Theft Auto V,1520,3892657,325,11977,11,3,16,1343,221,13.06,Russian,35632,16-06-2025
GGSniper9888Live,South Korea,Dota 2,,500,1463499,320,4573,7,3,9,316,110,9.32,Spanish,11332,06-07-2025
RealRogue4487Highlights,South Korea,Mobile Legends,Teamfight Tactics,4098,5406508,328,16483,10,3,22,1531,489,12.26,Hindi,682714,02-08-2025
OfficialNinja733Channel,Brazil,Battlefield,,5995,4514307,314,14376,10,7,16,829,389,8.47,Filipino,462040,15-06-2025
OfficialBlade8342Official,Thailand,Call of Duty,Roblox,5692,21700281,306,70915,8,1,13,2544,1886,6.25,Russian,1690797,20-07-2025
GGFury1715Channel,Germany,Fighting Games,,21531,13357879,307,43511,12,2,11,3422,486,8.98,Hindi,1144295,15-07-2025
xNinja1047Gaming,Russia,TFT,,537,2366107,319,7417,9,3,19,294,192,6.55,Russian,203779,01-06-2025
OfficialSniper843Live,Brazil,Mobile Legends,,8851,20073219,282,71181,6,3,20,4680,657,7.5,Indonesian,1367333,24-06-2025
xGamer2497Gaming,Malaysia,Valorant,League of Legends,20090,47691533,279,170937,12,0.5,5,18339,1701,11.72,Spanish,7155704,06-08-2025
RealKing5288Esports,Malaysia,League of Legends,Teamfight Tactics,500,2184113,312,7000,12,2,8,200,54,3.63,Japanese,347863,01-04-2025
ProFury6564Network,India,Fighting Games,,4971,20780958,288,72156,10,1,16,1662,1907,4.95,Hindi,1915376,13-06-2025
GGSniper1866Plays,South Korea,Minecraft,Battlefield,1330,426698,279,1529,2,5,18,123,11,8.76,Korean,39277,29-04-2025
OGKing6448Network,UK,Overwatch,Rocket League,2616,2076596,321,6469,2,7,10,343,54,6.14,German,300683,09-08-2025
GGWizard1224TV,USA,Minecraft,,5199,8567251,308,27815,4,1,8,1718,310,7.29,Korean,939978,20-07-2025
ProWizard7175Plays,France,Minecraft,Battlefield,1367,1995664,259,7705,9,1,12,466,148,7.97,English,251585,03-07-2025
MsWizard7314Live,Japan,League of Legends,TFT,1011,487370,297,1640,7,1,21,47,44,5.55,German,8145,20-05-2025
GGAce2329Clips,UK,Fortnite,,3148,893119,323,2765,2,1,12,56,42,3.54,Japanese,70499,07-07-2025
RealKing4958Gaming,Mexico,Mobile Legends,Fighting Games,523,586977,305,1924,8,1,4,211,35,12.79,English,59396,10-08-2025
OfficialBlade6986Channel,Indonesia,Valorant,Apex Legends,524,457420,325,1407,11,1,13,58,12,4.98,Russian,58077,22-07-2025
GGNinja4316Official,India,FIFA,,8839,23307764,322,72384,7,2,17,4531,843,7.42,Hindi,2693161,05-05-2025
MrSniper9413Network,Thailand,Teamfight Tactics,,500,994449,340,2924,9,2,11,342,24,12.52,German,144859,07-06-2025
OfficialAce3800Highlights,Canada,Counter-Strike 2,,8656,31021287,310,100068,8,3,20,10274,1525,11.79,Korean,576257,04-07-2025
MrQueen7001Official,Pakistan,Call of Duty,Mobile Legends,6248,3064212,344,8907,3,2,17,274,175,5.04,Indonesian,251622,11-07-2025
OfficialPlay355Plays,India,Rocket League,,500,126977,287,442,1,5,12,31,5,8.14,Indonesian,3239,15-06-2025
xHunter3571Network,Indonesia,Fighting Games,,1008,680516,287,2371,2,7,12,220,62,11.89,Indonesian,96224,31-03-2025
TheWizard5232TV,Japan,Teamfight Tactics,,20142,17920709,313,57254,2,2,2,5143,1690,11.93,Russian,1694964,13-05-2025
MsFury8170TV,Mexico,TFT,Call of Duty,620,709477,325,2183,4,0.5,19,209,17,10.35,German,33076,26-06-2025
GGKing3413Plays,France,Rainbow Six Siege,Rainbow Six Siege,1417,1854167,303,6119,6,1,10,402,33,7.11,Hindi,141551,28-06-2025
xBlade9541Official,Pakistan,League of Legends,,6243,10991595,309,35571,4,1,10,1337,880,6.23,Russian,1660948,09-04-2025
MsBlade7423TV,Mexico,Rocket League,Fortnite,10440,17815839,287,62076,9,2,9,4127,606,7.62,Korean,2446945,21-05-2025
TheWizard2414Esports,Thailand,Overwatch,PUBG Mobile,1993,683524,270,2531,4,3,15,214,35,9.84,Portuguese,69669,04-06-2025
MsFury1712Network,Thailand,Apex Legends,Rainbow Six Siege,1145,1719347,308,5582,6,2,5,451,82,9.55,Portuguese,225798,30-07-2025
GGHunter9168Clips,India,Roblox,TFT,29021,70223620,313,224356,6,1,6,6069,6262,5.5,Hindi,778288,09-05-2025
RealQueen619Plays,Turkey,Fortnite,Rocket League,48157,30748906,325,94612,10,4,12,2506,2031,4.8,German,4263077,27-05-2025
TheWizard1454Plays,Japan,Call of Duty,,14273,49243521,314,156826,11,1,8,18274,943,12.25,Indonesian,5974300,09-08-2025
OGRogue6035Gaming,Vietnam,Valorant,,3416,10846101,335,32376,10,1,14,1139,173,4.05,Portuguese,1302581,14-07-2025
OfficialKing2682Network,Philippines,CS:GO Classics,Mobile Legends,817,382228,315,1213,1,4,8,59,12,5.85,Hindi,33656,08-07-2025
RealFury2869Esports,Germany,FIFA,,789,1129274,310,3642,8,1,22,352,47,10.96,Spanish,128768,03-06-2025
OfficialShadow6159Gaming,UK,Fortnite,Overwatch,6877,14481020,333,43486,12,4,16,2651,744,7.81,Russian,1426828,18-03-2025
OGShadow9012Gaming,Mexico,Battlefield,Fighting Games,5822,4335369,304,14261,3,10,16,544,370,6.41,English,585126,04-07-2025
OGKing4167TV,Indonesia,FIFA,Fighting Games,28072,35473750,307,115549,6,5,8,7709,1487,7.96,Russian,4139044,26-03-2025
GGFury9554Channel,Mexico,Fighting Games,Hearthstone,8439,9654780,306,31551,3,1,26,2426,454,9.13,Korean,824532,06-08-2025
MrGamer6375Official,France,Overwatch,Battlefield,500,1863336,294,6337,11,3,9,413,83,7.83,Hindi,38548,09-08-2025
ProSniper3397Channel,France,Sim Racing,,16044,12562916,312,40265,2,2,8,4505,210,11.71,Hindi,2001763,06-07-2025
OfficialNinja6297Channel,France,Sim Racing,,603,1263341,320,3947,5,10,16,191,113,7.7,Indonesian,74619,04-08-2025
MsQueen4172Clips,Philippines,Rainbow Six Siege,CS:GO Classics,1612,750130,297,2525,1,7,13,217,21,9.43,Portuguese,97213,07-08-2025
MrStorm2005Live,Malaysia,Call of Duty,Teamfight Tactics,4448,9764666,324,30137,9,1,7,941,367,4.34,English,944341,30-05-2025
OGQueen9377Live,Thailand,Call of Duty,Fortnite,72625,393936307,326,1208393,11,7,25,71571,9948,6.75,Japanese,59130186,04-08-2025
OGRogue4644Clips,Spain,Esports News,,431865,444532275,318,1397900,7,1,18,131541,24132,11.14,Indonesian,67468544,20-05-2025
xKing7980Highlights,Japan,Roblox,League of Legends,7869,8769158,345,25417,3,2,12,1079,719,7.07,Indonesian,580955,09-07-2025
OfficialQueen9991Plays,Pakistan,Battlefield,,2223,2581384,296,8720,4,2,26,688,65,8.64,Filipino,374139,30-07-2025
xHunter1043Channel,India,Minecraft,FIFA,7010,17564477,324,54211,6,1,17,1916,868,5.14,Japanese,421662,30-06-2025
MsAce5517Esports,France,TFT,Battlefield,12335,9789551,292,33525,3,7,12,1014,186,3.58,Spanish,407279,06-08-2025
ProStorm2713Live,India,FIFA,,1784,8622551,319,27029,12,2,26,1954,656,9.66,Portuguese,797890,09-08-2025
xRogue1541Gaming,UK,Sim Racing,League of Legends,52698,172851097,310,557584,7,5,16,48789,11726,10.85,Korean,6789375,19-02-2025
MrWizard9041Highlights,Indonesia,Teamfight Tactics,,4307,9807876,313,31335,6,10,16,981,704,5.38,English,241526,05-06-2025
xKing4697Highlights,Spain,Esports News,,6610,23750932,292,81338,9,5,10,9091,1367,12.86,Hindi,954808,15-07-2025
xFury4913Official,Mexico,Dota 2,,8651,8328727,297,28042,12,2,12,1193,776,7.02,Portuguese,503479,10-06-2025
OfficialKing7857Official,Spain,Call of Duty,,5851,4160966,310,13422,5,4,10,429,204,4.72,Indonesian,659854,06-07-2025
MrQueen960Plays,China,League of Legends,,11410,22292250,277,80477,4,3,21,3240,1436,5.81,German,500595,25-05-2025
FNNinja9216Highlights,UK,Teamfight Tactics,Mobile Legends,1110,1205240,332,3630,3,5,2,134,81,5.92,Spanish,22144,29-06-2025
RealQueen7977Plays,France,CS:GO Classics,,1220,3692355,310,11910,10,1,20,346,214,4.7,Portuguese,48884,13-07-2025
MsNinja424Gaming,Brazil,Hearthstone,,512,110151,293,375,1,3,7,37,3,10.67,German,5057,28-06-2025
TheWizard2055TV,Mexico,Roblox,Rainbow Six Siege,6022,1264169,298,4242,3,5,12,295,54,8.23,Spanish,31239,19-06-2025
GGHunter4729Gaming,South Korea,League of Legends,Counter-Strike 2,10366,6720624,281,23916,3,4,10,1407,174,6.61,German,98502,31-07-2025
RealFury470Highlights,Vietnam,Battlefield,Fighting Games,6200,11913768,284,41949,7,7,9,4826,663,13.08,Korean,980117,24-07-2025
TheHunter5700Network,Pakistan,FIFA,CS:GO Classics,43442,44141305,300,147137,7,1,16,8401,2977,7.73,Korean,5976928,31-07-2025
ProWizard9587Clips,Spain,Overwatch,Counter-Strike 2,2954,4534208,309,14673,12,2,12,538,116,4.46,Indonesian,99480,07-07-2025
MrQueen3067Official,Vietnam,Minecraft,Fortnite,8690,2422662,317,7642,1,2,8,362,158,6.8,Indonesian,54114,24-06-2025
xRogue3091Highlights,Canada,Grand Theft Auto V,,519,488363,315,1550,3,2,13,68,42,7.1,Korean,63469,17-05-2025
MrHunter7413Clips,China,Dota 2,Mobile Legends,1604,2026982,304,6667,8,2,8,465,89,8.31,Spanish,118154,27-05-2025
MsShadow9827Channel,Thailand,Hearthstone,,9071,25661200,332,77292,9,1,9,3798,815,5.97,English,2010435,24-07-2025
MrHunter6781Official,Japan,Teamfight Tactics,,11597,36948864,312,118425,7,5,3,8479,3235,9.89,Spanish,4675926,02-07-2025
MrShadow25Plays,Malaysia,Dota 2,Dota 2,1862,3427003,290,11817,7,7,9,1027,263,10.92,Russian,255519,02-08-2025
TheBlade6458Official,Indonesia,League of Legends,PUBG Mobile,2658,13901092,321,43305,12,1,15,4232,330,10.53,German,127771,07-07-2025
RealNinja2850Official,China,Apex Legends,Sim Racing,500,2569996,289,8892,11,1,12,809,135,10.62,German,195407,05-06-2025
ProStorm2098Live,Russia,Rocket League,,1683,1232996,303,4069,8,1,23,165,88,6.22,German,181279,04-04-2025
TheKing3608Highlights,Russia,League of Legends,,12389,6921626,333,20785,6,2,28,656,402,5.09,Hindi,163759,24-07-2025
OfficialWizard9641Gaming,Germany,Apex Legends,,7482,21745824,281,77387,11,5,9,5745,1583,9.47,English,2666577,09-08-2025
GGAce1186Official,Malaysia,Valorant,,6641,6268694,309,20287,3,1,7,809,389,5.91,Russian,524793,06-07-2025
RealQueen7172Live,Malaysia,Sim Racing,PUBG Mobile,3228,780038,288,2708,1,3,19,77,67,5.32,Filipino,74560,29-04-2025
MrRogue3617Official,Brazil,TFT,Fighting Games,3014,4154256,296,14034,7,1,14,1020,182,8.56,Hindi,587217,14-06-2025
MrSniper5867Official,Philippines,Counter-Strike 2,PUBG Mobile,1036,350631,282,1243,1,10,19,65,28,7.48,Korean,49373,28-06-2025
FNQueen265Plays,China,Counter-Strike 2,Rainbow Six Siege,9119,464491,284,1635,1,7,14,156,48,12.48,Spanish,80569,18-05-2025
xSniper7412TV,USA,Overwatch,Fighting Games,5846,25551093,343,74492,9,7,11,3830,1098,6.62,Russian,750369,03-06-2025
FNShadow5365Network,Thailand,Minecraft,,6550,10115531,316,32011,10,1,11,3773,793,14.26,Filipino,453885,23-07-2025
TheKing4988Network,Malaysia,Overwatch,Fortnite,1284,4158697,343,12124,7,2,15,1162,135,10.7,Korean,458763,28-05-2025
OfficialPlay6613TV,Vietnam,PUBG Mobile,Mobile Legends,500,544811,267,2040,11,1,11,52,24,3.73,Portuguese,86255,06-05-2025
xNinja4814TV,UK,Grand Theft Auto V,,17247,10840721,279,38855,4,3,19,2754,1102,9.92,Filipino,1610777,16-05-2025
ProWizard2691Gaming,Brazil,Esports News,,1385,1293810,319,4055,6,1,4,309,22,8.16,English,96978,07-08-2025
RealFury5742Plays,Canada,Sim Racing,Counter-Strike 2,749,373203,304,1227,1,5,19,109,12,9.86,Indonesian,8814,13-07-2025
xSniper4982Clips,Philippines,Roblox,,9041,3295369,296,11133,7,3,2,776,190,8.68,German,218306,10-08-2025
MrBlade7116Clips,Indonesia,CS:GO Classics,Dota 2,1592,6454041,327,19737,12,3,13,1348,296,8.33,Indonesian,305151,31-05-2025
OfficialStorm6176Network,Philippines,Minecraft,,16250,43032498,315,136611,6,5,10,7758,2831,7.75,Hindi,3622664,07-07-2025
ProShadow9005Live,Japan,Battlefield,,8000,11280740,295,38239,4,2,3,1802,375,5.69,Filipino,378358,08-08-2025
MrFury8022Channel,Germany,Teamfight Tactics,Mobile Legends,8899,13282749,308,43125,7,1,2,4942,291,12.13,Portuguese,1409178,16-05-2025
TheHunter3575Network,Vietnam,Minecraft,,500,721858,315,2291,3,3,5,118,32,6.55,Spanish,110742,15-04-2025
xWizard9578Plays,Spain,Fortnite,,20725,9369447,300,31231,1,7,12,822,565,4.44,Portuguese,1164837,17-07-2025
OGQueen6249Gaming,Spain,Counter-Strike 2,Battlefield,4527,4441525,319,13923,4,3,8,511,265,5.57,English,685577,05-07-2025
FNKing5487Highlights,Malaysia,Counter-Strike 2,,1651,1525513,308,4952,3,3,6,523,99,12.56,English,179052,14-06-2025
OGWizard2588Plays,Russia,Counter-Strike 2,,3749,1819703,292,6231,1,7,20,490,116,9.73,Indonesian,234253,16-05-2025
TheSniper7188TV,Germany,Counter-Strike 2,,500,492152,332,1482,2,2,5,145,16,10.86,German,40797,09-06-2025
MrPlay4305Official,India,Mobile Legends,,5732,15915615,278,57250,11,10,16,5775,1380,12.5,Filipino,2719663,25-02-2025
xNinja9960Esports,Canada,FIFA,Fortnite,574,1237852,314,3942,5,1,7,403,28,10.93,Indonesian,75923,24-06-2025
ProAce3545Clips,Canada,Roblox,Roblox,500,743564,324,2294,8,3,5,172,22,8.46,Spanish,88729,09-05-2025
GGBlade41Network,Indonesia,Fighting Games,Counter-Strike 2,500,108657,337,322,1,1,8,12,7,5.9,Filipino,668,11-07-2025
TheQueen5481Highlights,UK,Minecraft,Fortnite,17681,8781788,294,29870,4,2,16,1040,358,4.68,Russian,1219865,04-08-2025
OGShadow3413Live,France,Teamfight Tactics,,1089,627843,319,1968,4,1,4,152,34,9.45,Spanish,31731,28-05-2025
OfficialGamer4728Live,India,Valorant,League of Legends,34681,59927551,274,218713,5,1,14,12390,2882,6.98,Russian,1318936,14-06-2025
OfficialRogue6543Network,Japan,Grand Theft Auto V,Dota 2,1264,2476128,313,7910,7,1,6,599,139,9.33,German,290559,20-06-2025
MsStorm2959Official,South Korea,TFT,CS:GO Classics,500,924056,311,2971,12,2,7,207,40,8.31,Korean,80412,20-07-2025
GGRogue3747Gaming,South Korea,Overwatch,CS:GO Classics,500,925237,293,3157,8,1,14,253,94,10.99,Spanish,49716,09-07-2025
FNAce4927Network,Germany,Esports News,Fighting Games,21532,28155142,317,88817,6,5,25,2061,1237,3.71,German,3392564,17-07-2025
MsGamer3952Highlights,Germany,Esports News,TFT,2322,1147792,331,3467,1,1,7,80,71,4.36,Spanish,77790,16-06-2025
RealShadow4141Official,China,CS:GO Classics,Rainbow Six Siege,1239,3764989,338,11139,7,2,16,1026,303,11.93,Portuguese,369899,26-04-2025
OGNinja6193Network,USA,Fighting Games,,3850,2593955,325,7981,3,0.5,10,313,167,6.01,Korean,398277,21-07-2025
xBlade7901Highlights,Pakistan,Overwatch,Counter-Strike 2,6653,18412674,298,61787,6,1,9,5265,1183,10.44,Spanish,135413,06-08-2025
OfficialWizard3244Live,Vietnam,Call of Duty,,17815,29100578,321,90656,8,7,18,6768,1743,9.39,German,3871178,10-07-2025
TheBlade1521Gaming,Indonesia,Esports News,Call of Duty,30260,74254704,321,231323,7,5,7,27337,4027,13.56,Spanish,6666434,08-07-2025
xNinja9640Esports,China,Grand Theft Auto V,Fortnite,1676,8128474,345,23560,10,5,5,2439,593,12.87,Korean,468069,22-03-2025
MsRogue8472Clips,South Korea,Sim Racing,Valorant,500,676876,321,2108,6,2,15,129,13,6.74,Korean,100473,14-05-2025
MsWizard5191Gaming,Turkey,Fortnite,,1538,4927035,351,14037,9,1,22,1145,380,10.86,Hindi,660759,12-07-2025
RealShadow2196Clips,Mexico,Battlefield,,4520,7451181,310,24036,9,1,16,762,472,5.13,Japanese,117922,07-07-2025
ProNinja229Plays,Russia,Mobile Legends,Rainbow Six Siege,637,108188,296,365,1,3,4,21,9,8.22,Korean,12926,21-06-2025
FNBlade4677Official,Malaysia,Roblox,,644,198590,297,668,1,5,8,62,3,9.73,English,20670,05-08-2025
RealSniper8120Official,Spain,Apex Legends,Rocket League,5167,2535287,307,8258,1,7,18,679,220,10.89,German,285170,04-05-2025
MrHunter1553Plays,Indonesia,League of Legends,,2757,5600244,307,18241,8,1,21,1248,145,7.64,Russian,866888,12-04-2025
GGFury849Gaming,Germany,FIFA,,3141,17788235,299,59492,12,2,13,2240,1370,6.07,Japanese,2947293,23-05-2025
GGGamer6128TV,Malaysia,Battlefield,Apex Legends,885,4900743,270,18150,12,1,9,1820,279,11.56,English,249947,17-07-2025
GGAce980Highlights,Japan,Dota 2,,2061,3384021,314,10777,10,5,22,509,237,6.92,Indonesian,173524,07-08-2025
xQueen8781Gaming,Mexico,CS:GO Classics,Sim Racing,679,1097081,291,3770,7,1,12,384,78,12.25,Filipino,140511,26-07-2025
MsFury1406Live,USA,Hearthstone,,12385,12613606,323,39051,3,2,8,3169,354,9.02,Japanese,1394506,21-05-2025
OfficialFury9541Official,UK,Minecraft,Counter-Strike 2,15621,8845255,350,25272,2,7,7,1447,451,7.51,German,227358,13-07-2025
xBlade1509Highlights,Mexico,FIFA,FIFA,500,186362,301,619,4,4,5,14,7,3.39,Korean,29413,16-07-2025
xNinja3750Esports,Germany,League of Legends,CS:GO Classics,673,1003774,311,3227,3,1,29,139,61,6.2,Indonesian,131290,16-07-2025
MrSniper8764Official,Brazil,Rainbow Six Siege,Sim Racing,500,1360430,286,4756,7,0.5,21,517,111,13.2,English,85174,28-04-2025
MrStorm1703Live,Russia,Call of Duty,,1053,2600513,325,8001,10,5,8,814,56,10.87,Spanish,238922,24-06-2025
ProSniper8987Gaming,Pakistan,Dota 2,TFT,2608,6847060,306,22376,8,3,22,1733,400,9.53,Russian,822228,09-07-2025
