Tournament Name,Game,Genre,Organizer,Frequency,Prize Pool (USD)_Adjusted,Year,Country,Prize Pool (USD)
Fortnite Championship 328,Fortnite,Battle Royale,Valve,Quarterly,2986818,2024,Germany,2986818
Fortnite Championship 328,Fortnite,Battle Royale,Valve,Quarterly,3303068,2025,Germany,3303068
Fortnite Championship 328,Fortnite,Battle Royale,Valve,Quarterly,2488466,2023,Germany,2488466
Fortnite Championship 328,Fortnite,Battle Royale,Valve,Quarterly,2906752,2024,Germany,2906752
Fortnite Championship 328,Fortnite,Battle Royale,Valve,Quarterly,3430194,2025,Germany,3430194
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1881830,2023,United States,1881830
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1859762,2024,United States,1859762
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1829250,2025,United States,1829250
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1779890,2023,Canada,1779890
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1383164,2024,France,1383164
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1309121,2025,Brazil,1309121
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1734651,2023,Germany,1734651
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1388932,2024,Sweden,1388932
Counter-Strike 2 Championship 329,Counter-Strike 2,FPS,Activision,Annual,1216850,2025,Brazil,1216850
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1820791,2023,Germany,1820791
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1880096,2024,United States,1880096
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1806613,2025,Canada,1806613
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2105276,2023,France,2105276
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1953772,2024,China,1953772
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1781365,2025,Canada,1781365
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2144212,2023,France,2144212
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2200889,2024,Canada,2200889
PUBG Mobile Championship 330,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2588716,2025,Germany,2588716
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2901474,2023,Brazil,2901474
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,3117095,2024,Japan,3117095
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2809896,2025,Japan,2809896
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2572518,2023,Sweden,2572518
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2925876,2024,Germany,2925876
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,3311647,2025,Japan,3311647
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2676412,2023,Japan,2676412
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2561166,2024,Brazil,2561166
PUBG Mobile Championship 331,PUBG Mobile,Battle Royale,Capcom,Annual,2728517,2025,France,2728517
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,3771406,2023,Canada,3771406
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,3195690,2024,Canada,3195690
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,2477697,2025,Canada,2477697
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,5885863,2023,Canada,5885863
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,6959203,2024,Canada,6959203
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,8271425,2025,Canada,8271425
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,4289028,2023,Canada,4289028
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,3568278,2024,Canada,3568278
Dota 2 Championship 332,Dota 2,MOBA,EA Sports,Quarterly,2874567,2025,Canada,2874567
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,3713879,2023,France,3713879
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,4206467,2024,China,4206467
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,4709433,2025,Canada,4709433
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,3344049,2023,United States,3344049
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,3445655,2024,Canada,3445655
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,3365874,2025,France,3365874
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,2618763,2023,France,2618763
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,2234197,2024,Canada,2234197
Street Fighter Championship 333,Street Fighter,Fighting,Krafton,Bi-Annual,1890894,2025,Sweden,1890894
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,2121304,2023,Canada,2121304
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,2436095,2024,Canada,2436095
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,2830858,2025,Canada,2830858
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1414931,2023,Canada,1414931
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1259912,2024,Canada,1259912
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1243935,2025,Canada,1243935
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1405654,2023,Canada,1405654
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1258595,2024,Canada,1258595
Tekken 8 Championship 334,Tekken 8,Fighting,Valve,Quarterly,1141817,2025,Canada,1141817
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1192340,2023,China,1192340
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1046173,2024,China,1046173
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,861837,2025,China,861837
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1150703,2023,China,1150703
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,991848,2024,China,991848
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,836936,2025,China,836936
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1368004,2023,China,1368004
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1437904,2024,China,1437904
Fortnite Championship 335,Fortnite,Battle Royale,Psyonix,Quarterly,1535953,2025,China,1535953
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,264653,2023,India,264653
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,234068,2024,India,234068
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,208909,2025,India,208909
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,293521,2023,India,293521
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,345748,2024,India,345748
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,355969,2025,India,355969
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,348476,2023,India,348476
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,363746,2024,India,363746
Street Fighter Championship 336,Street Fighter,Fighting,Tencent,Bi-Annual,416717,2025,India,416717
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,1966884,2023,Germany,1966884
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,1738856,2024,Germany,1738856
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,1633446,2025,Germany,1633446
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,2857778,2023,Germany,2857778
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,2630843,2024,Germany,2630843
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,2588001,2025,Germany,2588001
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,3051249,2023,Germany,3051249
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,3570090,2024,Germany,3570090
Dota 2 Championship 337,Dota 2,MOBA,Epic Games,Quarterly,3845241,2025,Germany,3845241
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,3257835,2023,China,3257835
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,2648633,2024,China,2648633
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,2448248,2025,Brazil,2448248
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,3591751,2023,Canada,3591751
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,3615431,2024,United States,3615431
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,4264351,2025,United States,4264351
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,3023661,2023,Canada,3023661
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,2612994,2024,United States,2612994
FIFA 24 Championship 338,FIFA 24,Sports,Valve,Annual,2208283,2025,France,2208283
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1643011,2023,India,1643011
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1412834,2024,India,1412834
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1258341,2025,India,1258341
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1998203,2023,India,1998203
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1828164,2024,India,1828164
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,2148719,2025,India,2148719
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1631526,2023,India,1631526
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1380213,2024,India,1380213
FIFA 24 Championship 339,FIFA 24,Sports,Ubisoft,Bi-Annual,1182917,2025,India,1182917
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,4593883,2023,France,4593883
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,4757881,2024,France,4757881
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,5778550,2025,France,5778550
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,4618292,2023,France,4618292
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,4315223,2024,France,4315223
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,3850110,2025,France,3850110
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,4838582,2023,France,4838582
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,5463331,2024,France,5463331
Dota 2 Championship 340,Dota 2,MOBA,Riot Games,Quarterly,6402008,2025,France,6402008
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,968959,2023,Germany,968959
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,1095579,2024,Germany,1095579
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,1172381,2025,Germany,1172381
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,732538,2023,Germany,732538
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,690575,2024,Germany,690575
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,588378,2025,Germany,588378
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,764020,2023,Germany,764020
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,831727,2024,Germany,831727
PUBG Mobile Championship 341,PUBG Mobile,Battle Royale,Valve,Annual,807759,2025,Germany,807759
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3283781,2023,Japan,3283781
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3473918,2024,Canada,3473918
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3312720,2025,Germany,3312720
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3143456,2023,China,3143456
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3239711,2024,Canada,3239711
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3594979,2025,China,3594979
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,2995947,2023,Canada,2995947
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3285953,2024,China,3285953
Counter-Strike 2 Championship 342,Counter-Strike 2,FPS,Krafton,Bi-Annual,3885297,2025,China,3885297
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,850383,2023,Germany,850383
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,710048,2024,Brazil,710048
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,652235,2025,Japan,652235
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,848283,2023,Japan,848283
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,782316,2024,China,782316
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,702524,2025,Japan,702524
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,1053962,2023,France,1053962
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,1173126,2024,Japan,1173126
Fortnite Championship 343,Fortnite,Battle Royale,Psyonix,Annual,1338502,2025,Japan,1338502
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,3149069,2023,China,3149069
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,3755788,2024,China,3755788
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,4123505,2025,China,4123505
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,2299907,2023,China,2299907
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,1795665,2024,China,1795665
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,1650392,2025,China,1650392
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,2801516,2023,China,2801516
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,3179363,2024,China,3179363
Dota 2 Championship 344,Dota 2,MOBA,Tencent,Bi-Annual,3048010,2025,China,3048010
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,2024797,2023,United States,2024797
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,2405153,2024,United States,2405153
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,2721555,2025,United States,2721555
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,1329911,2023,United States,1329911
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,1151729,2024,United States,1151729
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,884622,2025,United States,884622
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,1478428,2023,United States,1478428
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,1477597,2024,United States,1477597
Fortnite Championship 345,Fortnite,Battle Royale,Psyonix,Quarterly,1689097,2025,United States,1689097
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,5755150,2023,China,5755150
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,7291367,2024,China,7291367
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,8297219,2025,China,8297219
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,4810333,2023,China,4810333
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,5001407,2024,China,5001407
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,5588510,2025,China,5588510
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,5470546,2023,China,5470546
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,6095133,2024,China,6095133
Tekken 8 Championship 346,Tekken 8,Fighting,Psyonix,Bi-Annual,6408252,2025,China,6408252
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2394114,2023,Germany,2394114
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2345227,2024,Germany,2345227
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2112341,2025,Germany,2112341
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2677276,2023,Germany,2677276
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2410486,2024,Germany,2410486
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2808142,2025,Germany,2808142
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2540425,2023,Germany,2540425
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2309230,2024,Germany,2309230
Street Fighter Championship 347,Street Fighter,Fighting,Ubisoft,Quarterly,2120346,2025,Germany,2120346
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,3888550,2023,Canada,3888550
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,3702142,2024,Canada,3702142
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,4141443,2025,Canada,4141443
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,4552323,2023,Canada,4552323
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,4125084,2024,Canada,4125084
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,4180659,2025,Canada,4180659
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,4773370,2023,Canada,4773370
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,5661560,2024,Canada,5661560
League of Legends Championship 348,League of Legends,MOBA,Capcom,Quarterly,6114957,2025,Canada,6114957
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,483252,2023,Canada,483252
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,615322,2024,Canada,615322
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,731736,2025,Canada,731736
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,375074,2023,Canada,375074
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,306537,2024,Canada,306537
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,267872,2025,Canada,267872
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,376099,2023,Canada,376099
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,392670,2024,Canada,392670
League of Legends Championship 349,League of Legends,MOBA,Valve,Annual,363027,2025,Canada,363027
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,4638779,2023,Canada,4638779
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,4379950,2024,Canada,4379950
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,3508358,2025,Canada,3508358
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,4433793,2023,Canada,4433793
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,4007152,2024,Canada,4007152
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,3274634,2025,Canada,3274634
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,4073717,2023,Canada,4073717
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,3403514,2024,Canada,3403514
Counter-Strike 2 Championship 350,Counter-Strike 2,FPS,EA Sports,Quarterly,3307933,2025,Canada,3307933
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2023,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2024,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2500000,2025,China,2500000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2023,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2024,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2500000,2025,China,2500000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2023,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2250000,2024,China,2250000
Valorant Championship 351,Valorant,FPS,Epic Games,Quarterly,2500000,2025,China,2500000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2023,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2024,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2500000,2025,China,2500000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2023,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2024,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2500000,2025,China,2500000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2023,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2250000,2024,China,2250000
Valorant Championship 352,Valorant,FPS,Valve,Bi-Annual,2500000,2025,China,2500000
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,6135342,2023,China,6135342
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,6980564,2024,France,6980564
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,8152672,2025,Canada,8152672
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4227793,2023,Brazil,4227793
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,3472986,2024,Canada,3472986
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,3099916,2025,Brazil,3099916
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4303238,2023,China,4303238
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4188780,2024,Sweden,4188780
PUBG Mobile Championship 353,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4104475,2025,Germany,4104475
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1728142,2023,India,1728142
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1933622,2024,India,1933622
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1941233,2025,India,1941233
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1284949,2023,India,1284949
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1093464,2024,India,1093464
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,915636,2025,India,915636
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,1927106,2023,India,1927106
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,2179006,2024,India,2179006
Rocket League Championship 354,Rocket League,Sports,Psyonix,Bi-Annual,2626408,2025,India,2626408
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2868867,2023,Japan,2868867
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2421011,2024,Japan,2421011
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2039319,2025,Japan,2039319
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2736070,2023,Japan,2736070
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2691770,2024,Japan,2691770
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2318239,2025,Japan,2318239
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2714579,2023,Japan,2714579
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2501594,2024,Japan,2501594
Fortnite Championship 355,Fortnite,Battle Royale,Psyonix,Bi-Annual,2408364,2025,Japan,2408364
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,4115655,2023,Canada,4115655
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,3700343,2024,Canada,3700343
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,2898283,2025,Canada,2898283
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,3750344,2023,Canada,3750344
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,3211340,2024,Canada,3211340
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,3115232,2025,Canada,3115232
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,4214743,2023,Canada,4214743
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,4145273,2024,Canada,4145273
Dota 2 Championship 356,Dota 2,MOBA,Activision,Annual,4829949,2025,Canada,4829949
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,535733,2023,Japan,535733
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,527189,2024,Japan,527189
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,538050,2025,Japan,538050
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,691901,2023,Japan,691901
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,751438,2024,Japan,751438
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,902493,2025,Japan,902493
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,665878,2023,Japan,665878
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,786158,2024,Japan,786158
Fortnite Championship 357,Fortnite,Battle Royale,EA Sports,Annual,923998,2025,Japan,923998
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2483718,2023,Germany,2483718
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2029451,2024,Germany,2029451
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1681459,2025,Germany,1681459
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2676578,2023,Germany,2676578
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,2283980,2024,Germany,2283980
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,1974717,2025,Germany,1974717
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,3422807,2023,Germany,3422807
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,3080505,2024,Germany,3080505
PUBG Mobile Championship 358,PUBG Mobile,Battle Royale,Krafton,Bi-Annual,3561215,2025,Germany,3561215
Fortnite Championship 359,Fortnite,Battle Royale,EA Sports,Annual,458989,2023,Japan,458989
Fortnite Championship 359,Fortnite,Battle Royale,EA Sports,Annual,410381,2024,Japan,410381
